Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-07-29,15.77,16.32,15.61,16.12,57025616,913954622.76,1.4897
2026-07-30,16.13,17.4,16.13,16.85,84786553,1437087865.82,2.2149
2026-07-31,16.25,16.98,16.24,16.87,54786745,917104394.14,1.4312
2026-08-03,16.88,17.1,16.38,17.01,52343371,882334241.04,1.3674
2026-08-04,17.0,17.48,16.75,16.85,58474421,997404318.57,1.5275
2026-08-05,16.8,17.99,16.3,17.87,83032115,1441369220.84,2.1691
2026-08-06,17.61,17.89,17.13,17.46,62252759,1079105539.5,1.6263
2026-08-07,17.8,17.88,17.56,17.7,44958927,796162525.92,1.1745
2026-08-10,17.55,17.92,17.31,17.66,39487563,694425381.63,1.0315
2026-08-11,17.54,17.75,16.29,16.3,96455803,1628570872.34,2.5197
2026-08-12,16.34,16.83,16.31,16.74,48181112,802968736.25,1.2587
2026-08-13,16.94,17.11,16.66,16.75,33262730,560511462.9,0.8689
2026-08-14,16.99,17.03,16.45,16.7,31440855,524182665.33,0.8213
2026-08-17,16.87,17.75,16.75,17.7,56944255,987861773.17,1.4876
2026-08-18,17.82,18.15,17.65,18.0,42923321,767531911.42,1.1213
2026-08-19,18.3,18.83,17.92,18.32,88638837,1635018355.08,2.3155
2026-08-20,18.5,19.23,18.2,18.31,90771737,1697511895.16,2.3713
2026-08-21,18.46,19.69,18.42,19.58,111915824,2160216975.26,2.9236
2026-08-24,19.57,19.85,19.1,19.14,84348294,1638306822.76,2.2035
2026-08-25,19.37,19.43,18.73,19.04,57014741,1081345923.02,1.4894
2026-08-26,18.6,19.15,18.47,18.57,54961615,1032025524.78,1.4358
2026-08-27,18.13,18.7,18.08,18.61,49919966,921671751.47,1.3041
2026-08-28,18.98,19.1,18.62,18.81,45529786,859537596.31,1.1894
2026-08-31,18.99,19.35,18.38,19.22,74928829,1414381942.01,1.9574
2026-09-01,18.96,19.48,18.79,19.07,54335238,1041804881.7,1.4194
2026-09-02,19.34,19.34,18.58,18.69,49725476,938439300.51,1.299
2026-09-03,18.9,20.56,18.9,20.33,115717966,2329321680.28,3.0229
2026-09-04,20.5,21.18,20.2,20.34,90550895,1862446251.71,2.3655
2026-09-07,20.97,21.05,19.68,19.75,68496226,1374276472.07,1.7894
2026-09-08,19.95,20.45,19.73,20.23,58258444,1172371986.51,1.5219
2026-09-09,20.23,21.62,19.99,21.43,104276380,2207222104.21,2.724
2026-09-10,21.5,21.5,20.69,21.3,74501885,1575067599.29,1.9462
2026-09-11,21.82,21.96,20.61,20.86,68981102,1455935380.8,1.802
2026-09-14,21.6,22.3,20.77,20.9,87307534,1870742645.98,2.2808
2026-09-15,21.32,21.65,20.58,21.05,71619506,1518019297.08,1.8709
